"customer_id","movies_rented","first_name","last_name","email"
148,"46","Eleanor","Hunt","eleanor.hunt@sakilacustomer.org"
526,"45","Karl","Seal","karl.seal@sakilacustomer.org"
144,"42","Clara","Shaw","clara.shaw@sakilacustomer.org"
236,"42","Marcia","Dean","marcia.dean@sakilacustomer.org"
75,"41","Tammy","Sanders","tammy.sanders@sakilacustomer.org"
469,"40","Wesley","Bull","wesley.bull@sakilacustomer.org"
197,"40","Sue","Peters","sue.peters@sakilacustomer.org"
468,"39","Tim","Cary","tim.cary@sakilacustomer.org"
137,"39","Rhonda","Kennedy","rhonda.kennedy@sakilacustomer.org"
178,"39","Marion","Snyder","marion.snyder@sakilacustomer.org"
